"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE"
"GTR",12007,33.449305555,-88.59138889
"GUC",12012,38.5344444433333,-106.932962965
"GUM",12016,13.48388889,144.79722222
"HDN",12094,40.48138889,-107.21888889
"HGR",12119,39.708194445,-77.728194445
"HHH",12124,32.220555555,-80.690416665
"HIB",12129,47.3879629633333,-92.8387037033333
"HLN",12156,46.606777778,-111.982833332
"HNL",12173,21.318111112,-157.921166668
"HOB",12177,32.687722222,-103.217055552
"HOU",12191,29.6454629633333,-95.27824074
"HPN",12197,41.067916665,-73.70763889
"HRL",12206,26.227944444,-97.654333332
"HSV",12217,34.64,-86.77527778
"HTS",12223,38.367611108,-82.558777778
"HVN",12244,41.2641666675,-72.887430555
"HYS",12255,38.844166665,-99.273611115
"IAD",12264,38.944583335,-77.45875
"IAG",12265,43.107333332,-78.945888888
"IAH",12266,29.9837037,-95.3404629633333
"ICT",12278,37.65,-97.433000004
"IDA",12280,43.51486111,-112.067777775
"IFP",10590,35.157111108,-114.560611108
"ILG",12320,39.67847222,-75.607083335
"ILM",12323,34.270055556,-77.90288889
"IMT",12335,45.816944445,-88.114305555
"IND",12339,39.7243055575,-86.2860416675
"INL",12343,48.56505556,-93.40261111
"INR",11013,46.24222222,-84.46611111
"IPT",12365,41.2409722225,-76.925
"ISN",12389,48.177083335,-103.639166665
"ISP",12391,40.79601852,-73.1005555566667
"ITH",12397,42.49101852,-76.4584259266667
"ITO",12402,19.7225,-155.054814816667
"JAC",12441,43.606944445,-110.73736111
"JAN",12448,32.3107142842857,-90.07583333
"JAX",12451,30.489444445,-81.68777778
"JFK",12478,40.63961111,-73.778388888
"JHM",12492,20.964583335,-156.67513889
"JLN",12511,37.1515740733333,-94.4983333333333
"JMS",12519,46.92986111,-98.678194445
"JNU",12523,58.3549537033333,-134.57648148
"JQF",12544,35.38652778,-80.709444445
"JST",12559,40.316000002,-78.834333332
"KOA",12758,19.73888889,-156.04555556
"KTN",12819,55.35625,-131.71388889
"LAN",12884,42.7789814833333,-84.58759259
"LAR",12888,41.312777775,-105.67402778
"LAS",12889,36.079930555,-115.1538888875
"LAW",12891,34.56875,-98.41638889
"LAX",12892,33.9425347225,-118.40781250125
"LBB",12896,33.6634126971429,-101.821984128571
