"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station"
"ACT",10155,31.611805555,-97.229444445,"USW00013959"
"ACV",10157,40.978101855,-124.108287016667,"USW00024283"
"ACY",10158,39.456944445,-74.57777778,"USW00013753"
"ADK",10165,51.8806944466667,-176.644629616667,"USW00025701"
"ADM",10167,34.303833336,-97.020388892,"USW00093940"
"ADQ",10170,57.74986111,-152.4938889,"USW00025501"
"ADS",10171,32.96847222,-96.83625,"USW00003970"
"ADT",16426,34.80416667,-96.67111111,"USW00053930"
"ADW",10172,38.81083333,-76.866999996,"USW00013705"
"AED",10176,58.03333333,-152.9,"USW00025501"
"AET",10184,66.556805555,-152.64027775,"USW00026517"
"AEX",10185,31.325833335,-92.547777775,"USW00013934"
"AFF",10189,38.9715,-104.81472224,"USW00093065"
"AFK",10190,40.6062962983333,-95.86689815,"USW00004993"
"AFO",10191,42.71277778,-110.93777775,"USI0000KAFO"
"AFP",10192,35.021222226,-80.078055554,"USW00000383"
"AFW",10194,32.98864583375,-97.31899305375,"USW00053909"
"AGC",10198,40.3545370333333,-79.9298148166667,"USW00014762"
"AGN",10204,57.50388889,-134.5833333,"USP504689-2"
"AGS",10208,33.3694444466667,-81.96444444,"USW00003820"
"AHD",10215,34.14694444,-97.12277778,"USW00053929"
"AHN",10216,33.948555554,-83.326277776,"USW00013873"
"AHT",10219,51.37861111,179.2586111,"USA00704545"
"AIA",10221,42.052999998,-102.80433334,"USW00024044"
"AIB",10222,56.19,-132.4458333,"USL000LCNA2"
"AID",10223,40.10861111,-85.61305556,"USW00004828"
"AIK",10224,33.6496296266667,-81.6849074066667,"USW00000193"
"AIN",10225,70.63430556,-160.0188889,"USW00027503"
"AIO",16849,41.40388889,-95.04861111,"USW00014930"
"AIY",10227,39.36,-74.45861111,"USL000ACYN4"
"AIZ",10228,38.09722222,-92.54833333,"USW00053931"
"AK1",16489,65.77277778,-165.8902778,"USA00749226"
"AK2",16490,60.71027778,-151.7211111,"USL000NKTA2"
"AK3",16505,64.19805556,-147.9286111,"USA00722811"
"AK4",16508,67.58055556,-148.1647222,"USW00026480"
"AK5",16580,70.37027778,-150.4211111,"USI0000PFNU"
"AK6",16581,64.07138889,-148,"USA00722811"
"AK7",16584,65.47722222,-150.0508333,"USA00701795"
"AK8",16621,60.43333333,-151.4833333,"USP504546-1"
"AK9",16630,55.73333333,-132.4333333,"USL000LCNA2"
"AKB",10237,52.22041667,-174.20652775,"USW00025715"
"AKC",10238,41.0375,-81.46736111,"USW00014813"
"AKI",10241,60.90416667,-161.22694445,"USI0000PFKW"
"AKK",10243,56.941805555,-154.17458335,"USI0000PAKH"
"AKN",10245,58.677083335,-156.6501389,"USU070326-1"
"AKO",10246,40.17555556,-103.2220833,"USW00024015"
"AKP",10247,68.135555555,-151.74166665,"USW00026542"
"AL1",10253,34.22916667,-86.25583333,"USW00063880"
"AL2",10254,33.17736111,-86.783055555,"USW00053864"
"AL3",10255,34.86009259,-86.5575,"USW00063804"
"AL4",16423,31.30861111,-86.393055555,"USW00053843"
"AL5",16455,32.46388889,-87.95416667,"USW00000445"
"AL6",16497,30.46055556,-87.87694444,"USW00000186"
"AL7",16669,33.90194444,-87.31388889,"USW00000156"
"AL8",16737,34.6881481466667,-86.0055555533333,"USW00000284"
"AL9",16790,33.17194444,-86.30555556,"USI0000KSCD"
"ALB",10257,42.7475,-73.80361111,"USW00014735"
"ALE",10259,30.38416667,-103.68333335,"USW00003049"
"ALI",10263,27.74083333,-98.02708333,"USW00012932"
"ALM",10266,32.8399999983333,-105.990370383333,"USW00093097"
"ALN",10267,38.890833335,-90.04722222,"USW00003958"
"ALO",10268,42.5571296266667,-92.40037037,"USW00094910"
"ALS",10272,37.435333334,-105.86711114,"USW00023061"
"ALW",10275,46.0945370366667,-118.2874537,"USW00024160"
"ALX",10276,32.915694445,-85.964861115,"USW00063833"
"ALZ",10278,56.89583333,-154.2458333,"USL000ALIA2"
"AMA",10279,35.2246296266667,-101.716574033333,"USC00410213"
"AMK",10285,37.203472225,-107.8688889,"USW00093005"
