"AIRPORT","AIRPORT_ID","LATITUDE","LONGITUDE","Closest_Station","Closest_Distance"
"CHA",10980,35.035833335,-85.20361111,"USW00013882",0.390579622763211
"CHO",10990,38.13961111,-78.452611112,"USW00093736",0.314252641860108
"CHS",10994,32.89888889,-80.039722225,"USW00013758",0.0880224188685161
"CID",11003,41.8845370333333,-91.7076851833333,"USW00014990",1.41759995732885
"CIU",11013,46.246388885,-84.469305555,"USW00004869",0.448747781383194
"CKB",11027,39.296888892,-80.228111112,"USW00003802",0.692873006714081
"CLE",11042,41.409722218,-81.853777776,"USW00014820",0.653851204017436
"CLL",11049,30.5887037033333,-96.36361111,"USW00003904",0.270910182466354
"CLT",11057,35.2155555566667,-80.9426851866667,"USW00013881",1.31482505251625
"CMH",11066,39.9963425916667,-82.8898148116667,"USW00014821",1.27207117565676
"CMI",11067,40.0390740733333,-88.2780555566667,"USW00094870",0.760309394990876
"CMX",11076,47.1679629633333,-88.4873148166667,"USW00014858",0.548092909021164
"CNY",11092,38.757444444,-109.75222222,"USW00093075",1.23554535207821
"COD",11097,44.518055555,-109.025694445,"USW00024045",0.728890730528293
"COS",11109,38.80736111,-104.705,"USW00093037",1.43900264766164
"COU",11111,38.8169907416667,-92.2187500016667,"USW00003945",0.35102834944195
"CPR",11122,42.907277778,-106.46372222,"USW00024089",1.32589017682636
"CRP",11140,27.77100694375,-97.50152777625,"USW00012924",1.73165885449274
"CRW",11146,38.374444445,-81.592986115,"USW00013866",0.57503804791765
"CSG",11150,32.516333334,-84.93888889,"USW00093842",0.310550675764198
"CVG",11193,39.048333335,-84.668194445,"USW00093814",0.574055186950801
"CWA",11203,44.77986111,-89.66291667,"USW00094890",0.485163257006405
"CYS",11233,41.155694445,-104.81138889,"USW00024018",0.611633848493506
"DAB",11252,29.1816666666667,-81.05453704,"USW00012846",1.19467912979015
"DAL",11259,32.8467361075,-96.851805555,"USW00013960",1.76515672093754
"DAY",11267,39.901666665,-84.21972222,"USW00093815",0.534957048469652
"DBQ",11274,42.40597222,-90.710138885,"USW00094908",0.856588051897366
"DCA",11278,38.851666666,-77.037611112,"USW00013751",0.416795798423596
"DDC",11283,37.762361115,-99.96527778,"USW00013985",0.362660918968807
"DEC",11288,39.834305555,-88.867083335,"USW00003887",0.56665927758311
"DEN",11292,39.818055555,-104.77638889,"USW00023062",9.73404101053189
"DFW",11298,32.896527775,-97.037083335,"USW00003927",1.42170243089963
"DHN",11308,31.320555555,-85.448888885,"USW00013839",0.612974917297541
"DIK",11315,46.798819445,-102.801527775,"USW00024012",0.343669953873271
"DLG",11336,59.043194445,-158.506111115,"USW00025513",0.9692327522388
"DLH",11337,46.842111108,-92.192944444,"USW00014913",1.40000820460808
"DQF",10466,33.30777778,-111.65555556,"USW00023104",2.46364076395953
"DRO",11413,37.1546031757143,-107.749761904286,"USW00093005",1.58380071996943
"DRT",11415,29.37416667,-100.92722222,"USW00022010",0.460664609430791
"DSM",11423,41.5339930575,-93.659409725,"USW00014933",0.525300768407199
"DTW",11433,42.214583335,-83.348888885,"USW00094847",2.3491797647387
"DUT",11445,53.898833334,-166.543222222,"USW00025616",0.426277755083297
"DVL",11447,48.115166668,-98.908833332,"USW00094928",0.677558960142225
"EAR",11468,40.727638885,-99.00277778,"USW00014905",0.671594421078327
"EAT",11470,47.398722224,-120.206666664,"USW00094239",0.440481121020934
"EAU",11471,44.8649074033333,-91.4862037033333,"USW00014991",0.249131125102066
"ECP",11481,30.358055555,-85.797222225,"USW00073805",1.3558736173888
"EGE",11503,39.642944446,-106.92211111,"USW00023063",0.911125820696284
"EKO",11525,40.824777778,-115.791166668,"USW00024121",0.412787747174823
"ELM",11537,42.1599999983333,-76.8923611116667,"USW00014748",0.935431820023431
"ELP",11540,31.80711111,-106.377,"USW00023044",0.567827789532785
"ERI",11577,42.0816666666667,-80.1762037033333,"USW00014860",0.51767425342642
"ESC",11587,45.72166667,-87.09013889,"USC00202627",0.492486753432798
"EUG",11603,44.122638885,-123.21472222,"USW00024221",1.16533080085564
"EVV",11612,38.03861111,-87.5306481466667,"USW00093817",1.90781441309103
"EWN",11617,35.0731250025,-77.0428819475,"USW00093719",0.698694165296426
"EWR",11618,40.694166665,-74.17013889,"USW00014734",1.26639215298687
"EYW",11624,24.5559259266667,-81.75972222,"USW00012836",0.460181040414209
"FAI",11630,64.8149074066667,-147.858611113333,"USW00026411",1.55206282733417
"FAR",11637,46.9172222266667,-96.81509259,"USW00014914",0.810663652374609
"FAT",11638,36.77638889,-119.718134921429,"USW00093193",0.445437442059586
"FAY",11641,34.99125,-78.88027778,"USW00093740",0.207261155268727
"FCA",11648,48.31166667,-114.25361111,"USW00024146",1.14133017314348
"FLG",11695,35.13902778,-111.67041667,"USW00003103",0.68129185224579
"FLL",11697,26.072453705,-80.1516203716667,"USW00012849",1.27684226358395
"FLO",11699,34.187083335,-79.724166665,"USW00013744",0.615321924463342
"FNT",11721,42.965777782,-83.743666666,"USW00014826",0.530219630551121
"FOD",11725,42.551805555,-94.19083333,"USW00094933",0.648929046230004
"FSD",11775,43.580416665,-96.741388885,"USC00397666",1.22367192972209
"FSM",11778,35.3362037066667,-94.36712963,"USW00013964",0.363036231747804
"FWA",11823,40.97833333,-85.189861115,"USW00014827",1.53249704554611
"GCC",11865,44.3497222233333,-105.534629626667,"USW00094023",1.24821807855951
"GCK",11867,37.92824074,-100.72796296,"USW00023064",0.778488940587124
"GEG",11884,47.619583335,-117.53402778,"USW00024157",0.502775727190939
"GFK",11898,47.94958333,-97.17625,"USW00014917",0.527098208259342
"GGG",11905,32.38527778,-94.713333335,"USW00003901",0.616343857504892
"GJT",11921,39.120555555,-108.52027778,"USW00023066",2.34596159538088
"GNV",11953,29.68986111,-82.27375,"USW00012816",0.30551545888839
"GPT",11973,30.406666665,-89.07013889,"USW00093874",1.19324113595998
"GRB",11977,44.485388888,-88.129888888,"USW00014898",2.09263562371668
"GRI",11980,40.96736111,-98.308194445,"USW00014935",0.780398635166515
"GRK",11982,31.06597222,-97.828194445,"USW00003902",0.492972791701739
"GRR",11986,42.8810185166667,-85.5237037066667,"USW00094860",2.24989298592798
"GSO",11995,36.096666665,-79.941944445,"USW00013723",0.107017181173885
"GSP",11996,34.89777778,-82.2155555566667,"USW00003870",1.65363894092571
"GTF",12003,47.483111112,-111.369722224,"USW00024143",1.46837856243414
"GTR",12007,33.449305555,-88.59138889,"USW00053893",0.754431361940725
"GUC",12012,38.5344444433333,-106.932962965,"USW00093007",0.130589330222802
"GUM",12016,13.48388889,144.79722222,"GQW00041406",0.307416377254772
"HDN",12094,40.48138889,-107.21888889,"USW00094025",0.121781090077656
"HGR",12119,39.708194445,-77.728194445,"USW00093706",0.2944167569539
"HHH",12124,32.220555555,-80.690416665,"USW00063837",0.998280108790683
