Feature,Coefficient
Origin_IFP,-9.969863231730315e-06
Origin_ILG,5.556117332711979e-05
Origin_ILM,0.000999485945665732
Origin_IMT,-0.00020333356270049475
Origin_IND,-0.015837796247721553
Origin_INL,1.6708268386896332e-05
Origin_IPT,0.0004400590700933462
Origin_ISN,-0.00015980770886085783
Origin_ISP,0.002521607972116251
Origin_ITH,-8.680342591100246e-05
Origin_ITO,0.0010936113820736281
Origin_JAC,-0.0019231179515390494
Origin_JAN,0.0008061484498738234
Origin_JAX,0.0034220531169635304
Origin_JFK,-0.012728682430473615
Origin_JHM,0.002927729110456289
Origin_JLN,0.0004090899489425436
Origin_JMS,0.0005007832163746346
Origin_JNU,-0.00020744087196617622
Origin_JST,0.0002943506617555136
Origin_KOA,0.004038636644887206
Origin_KTN,0.0004016749190055062
Origin_LAN,-0.0023843667689585246
Origin_LAR,0.0008837605442466308
Origin_LAS,0.016030270598999818
Origin_LAW,0.0014437194620119179
Origin_LAX,0.005154467144319193
Origin_LBB,0.0021267548250554305
Origin_LBE,8.039907039055574e-05
Origin_LBF,0.0006183190850620615
Origin_LBL,0.0003322359916770332
Origin_LCH,0.0008285328067276025
Origin_LCK,0.00011617121260150877
Origin_LEX,-0.002572531077884609
Origin_LFT,0.0008787887428626275
Origin_LGA,0.011088832800321906
Origin_LGB,0.005980559297310351
Origin_LIH,0.004942956116432197
Origin_LIT,-0.0010144682241777418
Origin_LNK,-0.00011363469782439384
Origin_LNY,5.7197343350686e-05
Origin_LRD,0.0006516380318690427
Origin_LSE,-0.001325531975882512
Origin_LWB,0.0003536110933077975
Origin_LWS,-0.0002452927914832447
Origin_LYH,0.0003386539605085225
Origin_MAF,0.0025819821763982966
Origin_MBS,-0.0019564374935170073
Origin_MCI,-0.004452831960077337
Origin_MCO,0.03216686329917559
Origin_MCW,0.0003137421155185938
Origin_MDT,-0.0024143813686450634
Origin_MDW,0.023834969710072085
Origin_MEI,0.00015347057471134883
Origin_MEM,0.0002959091941792732
Origin_MFE,0.0012490954525416096
Origin_MFR,0.00194316854468488
Origin_MGM,0.000635928085503563
Origin_MHK,-0.00021217096234274672
Origin_MHT,0.0016863698456291076
Origin_MIA,0.010983024798795333
Origin_MKE,-0.008624347800795936
Origin_MKG,0.0004251699891442045
Origin_MKK,-5.5124554589860295e-06
Origin_MLB,0.0003724356847325845
Origin_MLI,-0.00018675585628077744
Origin_MLU,0.00016736273879265956
Origin_MMH,0.0011612299970211295
Origin_MOB,5.3721169708211964e-05
Origin_MOT,-0.002010466459995275
Origin_MQT,0.0019977165774999564
Origin_MRY,0.0011821949754494613
Origin_MSN,-0.008749597003819396
Origin_MSO,-0.0004303715400938933
Origin_MSP,-0.10249033965833654
Origin_MSY,0.010452082656908085
Origin_MTJ,0.000505050331126696
Origin_MYR,0.0021951941149062617
Origin_OAJ,0.0007749264757953892
Origin_OAK,0.01093761569770128
Origin_OGD,0.00011912774949442621
Origin_OGG,0.005513052746822668
Origin_OGS,0.0012141640640739421
Origin_OKC,-0.003230433148984039
Origin_OMA,-0.009296980744840724
Origin_OME,-0.0005962257657418862
Origin_ONT,0.004940309560559146
Origin_ORD,-0.09101795361985683
Origin_ORF,0.003502490642717367
Origin_ORH,0.0006852267061821082
Origin_OTH,0.0006973408493991027
Origin_OTZ,-0.0008064201834269832
Origin_OWB,9.598402714998352e-05
Origin_PAE,0.002903735306671188
Origin_PAH,0.00040744982083107753
Origin_PBG,0.0006617348160759761
Origin_PBI,0.009940236216478627
Origin_PDX,0.002783449182744471
Origin_PGD,0.001446350237031208
Origin_PGV,0.0010478411810044535
Origin_PHF,0.0005267964611174122
Origin_PHL,-0.015387180968634461
Origin_PHX,0.013728064140502988
Origin_PIA,-5.3183766303632917e-05
Origin_PIB,0.00039794174225303
Origin_PIE,0.0002849939494806528
Origin_PIH,-0.000510903541352953
Origin_PIR,0.00010996777603896051
Origin_PIT,-0.011132739570741422
Origin_PLN,0.0008098688157123869
Origin_PNS,0.001603542045810722
Origin_PPG,-2.2409281173741627e-05
Origin_PQI,0.0002878827333785024
Origin_PRC,-5.8347427364655304e-05
Origin_PSC,0.00030068194392203647
Origin_PSE,0.0003465142374287625
Origin_PSG,0.00032536058016151596
Origin_PSM,-4.682915999441181e-05
Origin_PSP,0.006074952223151287
Origin_PUB,0.00042558978166822964
Origin_PUW,0.0007004485471820254
Origin_PVD,0.0028426702145447347
Origin_PVU,0.001204228944719139
Origin_PWM,0.0017728088063363216
Origin_RAP,0.0004441466734943157
Origin_RDD,1.4735128250922124e-05
Origin_RDM,0.0028916170401861725
Origin_RDU,0.004555408448999332
Origin_RFD,-0.00030369845095407983
Origin_RHI,-0.0006467592601353607
Origin_RIC,-0.0014913592364938022
Origin_RIW,0.0003256154153886593
Origin_RKS,0.0004597369943307508
Origin_RNO,0.002618216033369335
Origin_ROA,0.0011156740058756176
Origin_ROC,-0.005517835207525841
Origin_ROP,-1.1406073652350006e-05
Origin_ROW,0.00012282700068473877
Origin_RST,-0.0025038065548500846
Origin_RSW,0.008876539882007583
Origin_SAF,7.840474608115354e-05
Origin_SAN,0.02723445029617922
Origin_SAT,0.003810150632530581
Origin_SAV,0.003239866768816468
Origin_SBA,0.003284481608577279
Origin_SBN,-0.0026698248660149476
Origin_SBP,0.0014231151669602292
Origin_SBY,-9.596009924870623e-05
