Feature,Coefficient
Origin_LNK,-0.4803222201216979
Origin_LNY,-0.5837751283978039
Origin_LRD,0.6733630947450142
Origin_LSE,-1.0086400350986457
Origin_LWB,1.1552844968790403
Origin_LWS,-0.37630600650012463
Origin_LYH,-0.1415755192899433
Origin_MAF,0.08022175047468236
Origin_MBS,-0.7121583115364415
Origin_MCI,-0.47088743804123895
Origin_MCO,0.8737216004323518
Origin_MCW,-0.22397425065979593
Origin_MDT,-0.471094082557347
Origin_MDW,-0.3358868288762709
Origin_MEI,0.4436016875802583
Origin_MEM,0.1062929417903529
Origin_MFE,0.6177319950751191
Origin_MFR,0.11863004243239743
Origin_MGM,0.5468172332254811
Origin_MHK,-0.49066231342999844
Origin_MHT,-0.39545529876261104
Origin_MIA,1.1398823288758118
Origin_MKE,-0.7683762511073492
Origin_MKG,0.27869626406789194
Origin_MKK,-1.3088527734888087
Origin_MLB,1.041357352452309
Origin_MLI,-0.3785183141111133
Origin_MLU,0.35297720628953533
Origin_MMH,1.6568759674880518
Origin_MOB,0.22633359014371573
Origin_MOT,-1.0973586376999633
Origin_MQT,1.166866111273702
Origin_MRY,0.637953916643397
Origin_MSN,-1.1674758936078928
Origin_MSO,-0.3742351453347348
Origin_MSP,-1.1091196552066882
Origin_MSY,0.635887397543144
Origin_MTJ,-0.35335314670157114
Origin_MYR,0.4130258694809739
Origin_OAJ,0.5771215879939022
Origin_OAK,0.18415128962000973
Origin_OGD,0.11244076479300992
Origin_OGG,0.9765512319548435
Origin_OGS,0.7744376221229633
Origin_OKC,-0.3680989294934631
Origin_OMA,-0.9128199108270815
Origin_OME,-1.2577054409869464
Origin_ONT,0.46706891435441905
Origin_ORD,-0.45312451261795195
Origin_ORF,0.1535272930048983
Origin_ORH,0.17364368896126745
Origin_OTH,1.6573151130292445
Origin_OTZ,-1.539422710129848
Origin_OWB,0.3798322958922192
Origin_PAE,0.48534923102309235
Origin_PAH,0.7186824015869808
Origin_PBG,0.004309169629664425
Origin_PBI,1.30300253879083
Origin_PDX,-0.290403955962488
Origin_PGD,0.5236352657971359
Origin_PGV,1.0535836174579165
Origin_PHF,-0.010022034874276666
Origin_PHL,-0.22090350133348732
Origin_PHX,0.37545670680869014
Origin_PIA,-0.5187557185198078
Origin_PIB,1.327374228962057
Origin_PIE,0.1356035027957157
Origin_PIH,-0.6100794424923148
Origin_PIR,-0.00806021654371102
Origin_PIT,-0.6983099237625444
Origin_PLN,0.47179502389863426
Origin_PNS,0.5880110952164007
Origin_PPG,-0.125987693657724
Origin_PQI,-0.5581188965534375
Origin_PRC,-0.2639680892100956
Origin_PSC,-0.20690094949132265
Origin_PSE,1.091392190575182
Origin_PSG,0.07844459322687762
Origin_PSM,-0.5101460738302069
Origin_PSP,0.8824479827959947
Origin_PUB,0.18822510719295013
Origin_PUW,0.1088227544942647
Origin_PVD,-0.2340316352006702
Origin_PVU,-0.1368407347647071
Origin_PWM,-0.3715345594060066
Origin_RAP,-0.34585727579039865
Origin_RDD,-0.021748660606968815
Origin_RDM,0.04953862132462633
Origin_RDU,0.2559219766408289
Origin_RFD,-1.147686956189171
Origin_RHI,-0.9532418967382864
Origin_RIC,-0.07955635735961782
Origin_RIW,0.026772956706248956
Origin_RKS,0.32281152804368207
Origin_RNO,-0.13098045187497337
Origin_ROA,0.06960536183546301
Origin_ROC,-0.7069009622742973
Origin_ROP,-0.05581110189061604
Origin_ROW,0.03507778555925679
Origin_RST,-1.0566326070510719
Origin_RSW,0.9817638799483692
Origin_SAF,-0.4258279747427509
Origin_SAN,0.793777624390584
Origin_SAT,0.41701935641024945
Origin_SAV,0.5150504408640986
Origin_SBA,0.854748130928668
Origin_SBN,-0.6006822932350092
Origin_SBP,0.7375903402180045
Origin_SBY,-0.37663989034363277
Origin_SCC,-2.7804390058222057
Origin_SCE,-0.5315407063378143
Origin_SCK,-0.21376333347917298
Origin_SDF,-0.3455489774361147
Origin_SEA,-0.30494994023753746
Origin_SFB,0.16559878085000643
Origin_SFO,0.5565330054387165
Origin_SGF,-0.4329017849556473
Origin_SGU,-0.9849662011045989
Origin_SHD,0.8759151089711805
